name,Kind,Alcohol,Aroma,Taste,Finish
쿠보타 준마이 다이긴죠,사케,15.0,"배, 사과, 멜론","꽃, 달콤한, 새콤한",은은한
송죽매 교토 준마이,사케,15.0,"달콤한, 바닐라, 진저, 과일","오크, 달콤한","풍부한, 긴 여운"
온나 나카세 준마이 다이긴죠,사케,16.0,은은한,"건포도, 무화과, 바닐라, 과일","부드러운, 긴 여운"
가모츠루 다이긴죠 골드,사케,16.5,과일,"깨끗한, 순수한","풍부한, 긴 여운"
카모시비토 쿠헤이지 오두디지,사케,16.0,"꽃, 풍부한","오크, 달콤한","긴 여운, 풍부한"
쿠보타 센쥬 준마이 긴죠,사케,15.0,은은한,"달콤한, 부드러운, 감칠맛, 산뜻한",부드러운
송죽매 클래식 준마이,사케,15.0,"풋사과, 멜론, 과일, 은은한","감칠맛, 곡물","은은한, 부드러운"
고쿠류 다이긴죠,사케,15.5,"바닐라, 신선한","감칠맛, 곡물",화려한
코시노칸바이 사이,사케,15.0,"멜론, 바나나, 사과, 조화로운","쌀, 바닐라, 흙내음, 미묘한",긴 여운
데와자쿠라 준마이 긴죠,사케,15.0,"향기로운, 과일","달콤한, 감칠맛",온화한
닷사이 준마이 다이긴죠45,사케,16.0,"포도 주스, 달콤한, 꽃","감칠맛, 온화한, 과일, 달콤한",긴 여운
월계관 준마이 750,사케,15.6,과일,달콤한,"깨끗한, 부드러운"
하쿠시카 준마이 긴죠 팩,사케,14.5,산뜻한,달콤한,깔끔한
송죽매 준마이 750,사케,15.0,"풋사과, 멜론, 은은한, 과일","감칠맛, 곡물",상쾌한
마쯔리 텐구 900 팩,사케,14.5,산뜻한,"감칠맛, 부드러운",깔끔한
하쿠쯔루 마루 500 팩,사케,13.5,상큼한,"새콤한, 달콤한",알코올
하쿠쯔루 마루 900 팩,사케,13.5,상큼한,"새콤한, 달콤한",알코올
하나 기자쿠라 준마이 긴죠,사케,12.0,"꽃, 과일","과일, 달콤한","부드러운, 깔끔한"
간바레 오또상 팩,사케,14.5,사과,"달콤한, 새콤한",깔끔한
사사이치 나츠 준마이 긴죠,사케,15.0,"자몽, 파인애플","복숭아, 열대 과일","새콤한, 깔끔한, 달콤한"
핫카이산 다이긴죠,사케,15.5,"쌀, 누룩, 바나나","달콤한, 깔끔한, 멜론","부드러운, 깔끔한"
핫카이산 준마이 다이긴죠,사케,15.5,"쌀, 누룩, 바나나","달콤한, 깔끔한, 멜론","부드러운, 풍부한"
야에가키 준마이,사케,15.0,"쌀, 누룩, 꽃","배, 깔끔한, 순수한",깔끔한
세븐 준마이 다이긴죠,사케,15.0,"둥근, 우아한, 레몬, 꽃, 꿀","부드러운, 허니서클, 천도 복숭아, 꿀","깔끔한, 쑥, 사과"
오카네,사케,13.5,"쌀, 핵과류","부드러운, 쌀, 산미","깔끔한, 산뜻한"
츠루우메 유즈,"리큐르, 사케",7.0,유자,"유자, 달콤한, 상큼한","감칠맛, 부드러운"
키슈호마레 준마이,사케,15.0,"산뜻한, 누룩","상쾌한, 쌀, 감칠맛",경쾌한
토우코우 준마이,사케,15.0,"부드러운, 산뜻한","순수한, 쌀","깔끔한, 담백한"
준마이 북극곰의 눈물,사케,14.5,"쌀, 은은한, 달콤한","달콤한, 감칠맛","부드러운, 깔끔한"
오미네 3 그레인,사케,14.5,"쌀, 뻥튀기, 잘 익은 열대 과일","백도, 머스캣, 사과, 감칠맛","깔끔한, 깨끗한, 달콤한"
비로쿠 토쿠베츠 준마이 하루,사케,17.0,"온화한, 상쾌한, 달콤한","부드러운, 싱그러운, 과일","산뜻한, 깔끔한, 산미"
다카시미즈 준마이 다이긴죠,사케,15.5,"신선한, 과일, 꽃","신선한, 감칠맛, 화려한","부드러운, 균형 잡힌"
상선여수 준마이 다이긴죠 금상 수상주,사케,16.5,"사과, 신선한, 과일","우아한, 부드러운, 깔끔한","깨끗한, 상큼한, 달콤한"
닷사이 준마이 다이긴죠 45,사케,16.0,"정향, 향신료, 몰트, 복숭아, 자스민, 오렌지","달콤한, 석류, 생강, 누룩, 실키","풍부한, 균형 잡힌, 깨끗한"
라쿠 준마이 골드,사케,13.5,"쌀, 누룩, 달콤한, 열대 과일","쌀, 고소한, 스모키, 달콤한, 멜론",깔끔한
호오비덴 제이사케,사케,42.0,"바닐라, 견과류","부드러운, 균형 잡힌, 알코올감","우아한, 깊은"
오토코야마 기타노이나호 다이긴죠,사케,16.0,"화려한, 청사과, 과일, 꽃","부드러운, 담백한, 감칠맛","깨끗한, 깔끔한, 상쾌한"
송죽매 타쿠죠,사케,15.0,"멜론, 풋사과, 참외","부드러운, 쌀, 감칠맛",부드러운
온나 나카세 준마이 다이긴죠,사케,16.0,은은한,"건포도, 과일, 바닐라, 무화과","부드러운, 긴 여운, 풍성한"
쿠보타 준마이 다이긴죠,사케,15.0,"멜론, 배, 사과","꽃, 달콤한, 새콤한",은은한
갓산 사사라츠키,사케,10.5,"산뜻한, 달콤한","감칠맛, 부드러운, 달콤한",깔끔한
사카리 유즈 No.21,"리큐르, 사케",8.0,"유자, 시트러스","유자, 달콤한, 상큼한, 과일",달콤한
쿠보타 만쥬,사케,15.5,"과일, 부드러운, 복합적인, 멜론","균형 잡힌, 복숭아, 꿀, 토피, 후추, 견과류","균형 잡힌, 실키, 부드러운"
닷사이 준마이 다이긴죠 39,사케,16.0,"꽃, 망고, 과일","풍부한, 과일, 부드러운","깔끔한, 풍성한"
닷사이 준마이 다이긴죠 23,사케,16.0,"온화한, 꽃, 꿀, 은은한","경쾌한, 감칠맛","부드러운, 시원한, 깔끔한"
다카시미즈 다이긴죠,사케,15.5,"사과, 배, 바나나, 신선한","산뜻한, 과일, 복합적인, 풍부한","우아한, 달콤한, 감칠맛"
아마부키 하쿠토우슈,사케,8.0,"향긋한, 복숭아, 자두, 달콤한","복숭아, 달콤한",깔끔한
닛코 오니,사케,14.5,"은은한, 쌀",쌀,"부드러운, 깔끔한"
준마이 북극곰의 눈물,사케,14.5,"쌀, 은은한, 달콤한","감칠맛, 달콤한","깔끔한, 부드러운"
쿠보타 만쥬,사케,15.5,"과일, 멜론, 복합적인, 부드러운","견과류, 균형 잡힌, 꿀, 복숭아, 토피, 후추","균형 잡힌, 실키, 부드러운"
닷사이 준마이 다이긴죠 23,사케,16.0,"꽃, 꿀, 온화한, 은은한","감칠맛, 경쾌한","깔끔한, 부드러운, 시원한"
온나 나카세 준마이 다이긴죠,사케,16.0,은은한,"건포도, 과일, 무화과, 바닐라","부드러운, 긴 여운"
츠루우메 유즈 1.8L,"리큐르, 사케",7.0,유자,"달콤한, 유자, 상큼한","감칠맛, 부드러운"
준마이 북극곰의 눈물 크리스마스,사케,14.5,"쌀, 은은한, 달콤한","감칠맛, 달콤한","깔끔한, 부드러운"
사쿠라 준마이,사케,16.0,"꽃, 화려한, 풍성한","깔끔한, 개운한, 풍부한, 달콤한","깔끔한, 신선한, 온화한"
츠루우메 나츠미캉,"리큐르, 사케",7.0,"과일, 감귤","달콤한, 상큼한, 시트러스, 감귤","감귤, 상큼한"
아키토라 준마이 다이긴죠,사케,15.5,"쌀, 꽃, 바닐라","부드러운, 깊은","묵직한, 섬세한"
후쿠이와이 유즈슈,사케,7.5,"유자, 향긋한","달콤한, 유자, 새콤한, 풍부한","산뜻한, 상쾌한"
후쿠이와이 유즈슈 1.8L,사케,7.5,"유자, 향긋한","달콤한, 유자, 새콤한, 풍부한","산뜻한, 상쾌한"
가모츠루 혼죠조 카라쿠치,사케,14.5,"깔끔한, 무향","담백한, 경쾌한","깔끔한, 가벼운"
오제키 스모,사케,13.5,"신선한, 달콤한","쌀, 깔끔한, 상큼한","부드러운, 은은한, 과일"
